,count,mean,std,min,25%,50%,75%,max,missing_count,missing_ratio
ID,30000.0,15000.5,8660.398374208891,1.0,7500.75,15000.5,22500.25,30000.0,0,0.0
LIMIT_BAL,30000.0,167484.32266666667,129747.66156720239,10000.0,50000.0,140000.0,240000.0,1000000.0,0,0.0
SEX,30000.0,1.6037333333333332,0.48912919609026045,1.0,1.0,2.0,2.0,2.0,0,0.0
EDUCATION,30000.0,1.8422666666666667,0.7444944624524593,1.0,1.0,2.0,2.0,4.0,0,0.0
MARRIAGE,30000.0,1.5572666666666666,0.5214047605456816,1.0,1.0,2.0,2.0,3.0,0,0.0
AGE,30000.0,35.4855,9.217904068090188,21.0,28.0,34.0,41.0,79.0,0,0.0
PAY_0,30000.0,0.3567666666666667,0.7605941727834089,0.0,0.0,0.0,0.0,8.0,0,0.0
PAY_2,30000.0,0.32003333333333334,0.8017273587578354,0.0,0.0,0.0,0.0,8.0,0,0.0
PAY_3,30000.0,0.30406666666666665,0.7905889976810523,0.0,0.0,0.0,0.0,8.0,0,0.0
PAY_4,30000.0,0.25876666666666664,0.7611126429800427,0.0,0.0,0.0,0.0,8.0,0,0.0
PAY_5,30000.0,0.2215,0.717719713667004,0.0,0.0,0.0,0.0,8.0,0,0.0
PAY_6,30000.0,0.22656666666666667,0.7154378197519008,0.0,0.0,0.0,0.0,8.0,0,0.0
BILL_AMT1,30000.0,51223.3309,73635.86057552956,-165580.0,3558.75,22381.5,67091.0,964511.0,0,0.0
BILL_AMT2,30000.0,49179.07516666667,71173.76878252835,-69777.0,2984.75,21200.0,64006.25,983931.0,0,0.0
BILL_AMT3,30000.0,47013.1548,69349.38742703684,-157264.0,2666.25,20088.5,60164.75,1664089.0,0,0.0
BILL_AMT4,30000.0,43262.94896666666,64332.85613391631,-170000.0,2326.75,19052.0,54506.0,891586.0,0,0.0
BILL_AMT5,30000.0,40311.40096666667,60797.15577026487,-81334.0,1763.0,18104.5,50190.5,927171.0,0,0.0
BILL_AMT6,30000.0,38871.7604,59554.10753674573,-339603.0,1256.0,17071.0,49198.25,961664.0,0,0.0
PAY_AMT1,30000.0,5663.5805,16563.280354025766,0.0,1000.0,2100.0,5006.0,873552.0,0,0.0
PAY_AMT2,30000.0,5921.1635,23040.870402057237,0.0,833.0,2009.0,5000.0,1684259.0,0,0.0
PAY_AMT3,30000.0,5225.6815,17606.961469803104,0.0,390.0,1800.0,4505.0,896040.0,0,0.0
PAY_AMT4,30000.0,4826.076866666666,15666.159744032007,0.0,296.0,1500.0,4013.25,621000.0,0,0.0
PAY_AMT5,30000.0,4799.387633333334,15278.30567914479,0.0,252.5,1500.0,4031.5,426529.0,0,0.0
PAY_AMT6,30000.0,5215.502566666667,17777.4657754353,0.0,117.75,1500.0,4000.0,528666.0,0,0.0
default_payment_next_month,30000.0,0.2212,0.41506180569093337,0.0,0.0,0.0,0.0,1.0,0,0.0
credit_util_ratio,30000.0,0.4239376019684477,0.41125199201781004,0.0,0.022031666666666627,0.31399385714285716,0.8298431818181818,6.4553,0,0.0
payment_ratio,30000.0,0.4116942804116957,26.098131819953434,-497.8,0.03690463407087065,0.0621938489328177,0.5203647936312664,4444.333333333333,0,0.0
late_payment_count,30000.0,0.8342,1.5543029161819912,0.0,0.0,0.0,1.0,6.0,0,0.0
